,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,, ,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,2017 BMW 330e (PHEV),,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,BMW,BMW,330e,BMX,330,2.0,4,Auto(S8),28,34,30,36.3462,49.9849,41.4336,27.7708,34.3774,30.3998,,TC,Turbocharged,SA,Semi-Automatic,,8,Y,N,R,"2-Wheel Drive, Rear",10,,332,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,96,9,,,1200,1200,51,43,47,36,36.7,36.311,50.729,43.0225,47.261,14,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,1200,,,,1200,SIDI; PHEV; ,2,2,4,Compact Cars,car,Plug-in Hybrid Label,8/1/16,20851,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift at inlet valves,Battery(s),,6,Lithium Ion,,351,26,92,On-Board,,,Electrical Regen Brake,,Both,N,,,,,1,"DC Permanent Magnet, brushless",,83,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W20,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,41.4,,,9,10,,HBMXV02.0H48,6,,,,,,,,,,,,,,,1000,,0,0,0,189,2,,350,34,43,38,210.1,162.2,189,13.06,15.11,14,0.344,0.376,0.359,0,0,0,10.8,,,,,,,,,,,,,,,,,,,,,
,,(Blended PHEV; tested in the AUTO eDrive (default) mode---not MAX eDRIVE mode or Save  Battery mode),,,,,,,,28,34,30,36.3462,49.9849,41.4336,27.7708,34.3774,30.3998,,TC,Turbocharged,SA,Semi-Automatic,,8,Y,N,R,"2-Wheel Drive, Rear",10,,332,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,96,9,,,1200,1200,66,78,71,93.7,111,100.937,66.0249,77.9981,70.9242,14,EL,Electricity,MPG,miles per gallon,1200,,,,1200,SIDI; PHEV; ,2,2,4,Compact Cars,car,Plug-in Hybrid Label,8/1/16,20851,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift at inlet valves,Battery(s),,6,Lithium Ion,,351,26,92,On-Board,,,Electrical Regen Brake,,Both,N,,,,,1,"DC Permanent Magnet, brushless",,83,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W20,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,41.4,,,9,10,10,HBMXV02.0H48,6,,,,,,,,,,,,,,,1000,,318,257,290,189,2,,350,34,43,38,210.1,162.2,189,All Electric Range = 0-14 miles (combined),,,0.344,0.376,0.359,,,,10.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,, ,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,2017 BMW 740e xDrive (PHEV),,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,BMW,BMW,740e xDrive,BMX,740,2.0,4,Auto(S8),25,29,27,32.1,42.1,35.9418,24.8563,29.4644,26.7381,,TC,Turbocharged,SA,Semi-Automatic,,8,Y,N,A,All Wheel Drive,10,,326,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,114,10,,,1350,1350,53,50,52,38.5,45.4,41.574,53.2116,49.622,51.5963,14,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,1350,,,,1350,SIDI; PHEV; ,2,2,6,Large Cars,car,Plug-in Hybrid Label,8/1/16,20775,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift at inlet valves,Battery(s),,6,Lithium Ion,,351,26,92,On-Board,,,Electrical Regen Brake,,Both,N,,,,,1,"DC Permanent Magnet, brushless",,83,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W20,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,36.2,,,8,9,,HBMXV02.0H48,6,,,,,,,,,,,,,,,250,,0,0,0,214,3,,340,31,37,33,233.3,191.5,214,13.45,14.73,14,0.356,0.369,0.362,0,0,0,12.1,,,,,,,,,,,,,,,,,,,,,
,,(Blended PHEV; tested in the AUTO eDrive (default) mode---not MAX eDRIVE mode or Save  Battery mode),,,,,,,,25,29,27,32.1,42.1,35.9418,24.8563,29.4644,26.7381,,TC,Turbocharged,SA,Semi-Automatic,,8,Y,N,A,All Wheel Drive,10,,326,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,114,10,,,1350,1350,62,68,64,87.6,97,91.456,62.0758,67.613,64.451,14,EL,Electricity,MPG,miles per gallon,1350,,,,1350,SIDI; PHEV; ,2,2,6,Large Cars,car,Plug-in Hybrid Label,8/1/16,20775,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift at inlet valves,Battery(s),,6,Lithium Ion,,351,26,92,On-Board,,,Electrical Regen Brake,,Both,N,,,,,1,"DC Permanent Magnet, brushless",,83,,,GDI,Spark Ignition Direct Injection,N,Y,N,0W20,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,36.2,,,8,9,,HBMXV02.0H48,6,,,,,,,,,,,,,,,250,,356,300,331,214,3,,340,31,37,33,233.3,191.5,214,All Electric Range = 0-14 miles (combined),,,0.356,0.369,0.362,,,,12.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,, ,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,2017 BMW  I3 REX (94 Amp-hour battery) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,BMW,BMW,I3 REX  (94 Amp-hour battery),BMX,103,0.6,2,Auto(A1),36,33,35,49.2,48.4,48.8368,36.1399,33.4036,34.8551,,NA,Naturally Aspirated,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",10,,80,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,84,15,,,650,650,29,32,30,20,22.7,21.209,28.6247,32.456,30.3488,97,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,650,,,,650,PHEV; 94 Amp-hour battery,2,2,3,Subcompact Cars,car,Plug-in Hybrid Label,9/1/16,20890,,,N,,,N,N,,N,,N,,N,,Battery(s),,8,Lithium Ion,,398,94,109.4,On-Board,,,Electrical Regen Brake,,Rear Wheels,N,,,,,1,AC Induction,,125,,,MFI,,N,Y,N,5W30,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,48.8,,,10,10,,HBMXV00.6I3R,8,,,,,,,,,,,,,,,3750,,0,0,0,29,5,,180,95,81,88,26,33,29,103.03,90.55,97,0.896,0.877,0.888,0,0,0,2.3,,,,,,,,,,,,,,,,,,,,,
,2017,(Non-blended PHEV; tested in the (default) Comfort mode---not the ECO PRO or ECO PRO+ modes),,,,,,,,36,33,35,49.2,48.4,48.8368,36.1399,33.4036,34.8551,,NA,Naturally Aspirated,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",10,,80,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,,,84,15,,,650,650,118,103,111,168.8,147,158.004,118.125,102.6157,110.6026,97,EL,Electricity,MPG,miles per gallon,650,,,,650,PHEV; 94 Amp-hour battery,2,2,3,Subcompact Cars,car,Plug-in Hybrid Label,9/1/16,20890,,,N,,,N,N,,N,,N,,N,,Battery(s),,8,Lithium Ion,,398,94,109.4,On-Board,,,Electrical Regen Brake,,Rear Wheels,N,,,,,1,AC Induction,,125,,,MFI,Multipoint/sequential fuel injection,N,Y,N,5W30,Y,Yes,,CD-2C,Charge Depleting 2-cycle,CS-2C,Charge Sustaining 2-cycle,,,48.8,,,10,10,,HBMXV00.6I3R,8,,,,,,,,,,,,,,,3750,,246,266,255,29,5,,180,95,81,88,26,33,29,All Electric Range = 97 miles (combined),,,0.896,0.877,0.888,,,,2.3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 BMW I8 (PHEV),,,,,,,,,,,,,,,,,2017 BMW I8 (PHEV),,,,,,,,,,,,,,,,2017 BMW I8 (PHEV),,,,,,,,,,,,,,,2017 BMW I8 (PHEV),,,,,,,,,,,,,,,,2017 BMW I8 (PHEV),,,,,,,,,,,,,,,,2017 BMW I8 (PHEV),,,,,,,,,,,,,,,,,2017 BMW I8 (PHEV),,,,,,,,,,,,,,,,,2017 BMW I8 (PHEV),,,,,,,,,,,,,, ,2017 BMW I8 (PHEV),,,,,,,,,,,,,,,2017 BMW I8 (PHEV),,,,,,,,,,,,2017 BMW I8 (PHEV),,,,,,,,,,,,,,,,,,,,,,,,,,,
