, ,(tested in the (default) Comfort mode---not the ECO PRO or ECO PRO+ modes),,,,,,,,25,30,27,17.1571,21.183,18.9687,24.5163,30.264,27.1028,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,81,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,N,Not exempt,,,84,15,,,550,550,,,,,,,,,,,,,,,,,,,,,,,3,Subcompact Cars,car,Electric Vehicle 5-cycle label,7/15/16,20683,,N,,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,360,60,93,On-Board,,,Electrical Regen Brake,,Rear Wheels,N,,,,,1,AC Induction,,125,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HBMXV00.0I3B,10,,,,,,,,,,,,,,,4250,,0,0,0,,4,,,,,,89.0,71.6,81,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 BMW I3 BEV (94 Amp-hour battery),,,,,,,,,,,,,,,,,2017 BMW I3 BEV (94 Amp-hour battery),,,,,,,,,,,,,,,,2017 BMW I3 BEV (94 Amp-hour battery),,,,,,,,,,,,,,,2017 BMW I3 BEV (94 Amp-hour battery),,,,,,,,,,,,,,,,2017 BMW I3 BEV (94 Amp-hour battery),,,,,, ,,,,,,,,,,2017 BMW I3 BEV (94 Amp-hour battery),,,,,,,,,,,,,,,,,2017 BMW I3 BEV (94 Amp-hour battery),,,,,,,,,,,,,,,,,2017 BMW I3 BEV (94 Amp-hour battery),,,,,,,,,,,,,, ,2017 BMW I3 BEV (94 Amp-hour battery),,,,,,,,,,,,,,,2017 BMW I3 BEV (94 Amp-hour battery),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,BMW,BMW,I3 BEV (94 Amp-hour battery),BMX,102,0.0,,Auto(A1),129,106,118,184.4,151.8,168.1499,129.08,106.26,117.7049,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,114,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,84,15,,,550,550,,,,,,,,,,,,,,,,,,,,,,,3,Subcompact Cars,car,Electric Vehicle 5-cycle label,7/15/16,20682,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,360,94,132,On-Board,,,Electrical Regen Brake,,Rear Wheels,N,,,,,1,AC Induction,,125,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HBMXV00.0I3B,10,,,,,,,,,,,,,,,4250,,0,0,0,,5,,,,,,123.8,101.9,114,,,,,,,,,,,,,,,,,,,,,,,,,
, ,(tested in the (default) Comfort mode---not the ECO PRO or ECO PRO+ modes),,,,,,,,26,32,29,18.2787,22.2005,20.0435,26.117,31.7194,28.6352,,,,A,Automatic,,1,N,N,R,"2-Wheel Drive, Rear",,,114,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,N,Not exempt,,,84,15,,,550,550,,,,,,,,,,,,,,,,,,,,,,,3,Subcompact Cars,car,Electric Vehicle 5-cycle label,7/15/16,20682,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,360,94,132,On-Board,,,Electrical Regen Brake,,Rear Wheels,N,,,,,1,AC Induction,,125,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HBMXV00.0I3B,10,,,,,,,,,,,,,,,4250,,0,0,0,,5,,,,,,123.8,101.9,114,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Chevrolet Bolt,,,,,,,,,,,,,,,,,2017 Chevrolet Bolt,,,,,,,,,,,,,,,,2017 Chevrolet Bolt,,,,,,,,,,,,,,,2017 Chevrolet Bolt,,,,,,,,,,,,,,,,2017 Chevrolet Bolt,,,,,, ,,,,,,,,,,2017 Chevrolet Bolt,,,,,,,,,,,,,,,,,2017 Chevrolet Bolt,,,,,,,,,,,,,,,,,2017 Chevrolet Bolt,,,,,,,,,,,,,, ,2017 Chevrolet Bolt,,,,,,,,,,,,,,,2017 Chevrolet Bolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,General Motors,Chevrolet,BOLT,GMX,293,0.0,,Auto(A1),128,110,119,182.2,157.4,170.1369,127.54,110.18,119.0958,,,,A,Automatic,,1,N,N,F,"2-Wheel Drive, Front",,,238,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,95,17,,,550,550,,,,,,,,,,,,,,,,,,,,,,,7,Small Station Wagons,car,Electric Vehicle 2-cycle label,9/12/16,20999,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,350,171.4,140,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,Y,,,,,1,Other,AC PERMANENT MAGNET,150,,,,,N,Y,,,N,No,BOLT,,,,,,,,,,10,10,,HGMXV00.0002,10,,,,,,,,,,,,,,,4250,,0,0,0,,9.3,,,,,,255.1,217.4,238,,,,,,,,,,,,,,,,,,,,,,,,,
, ,"(tested in the Drive mode without using the ""Regen-On-Demand"" steering wheel paddle) ",,,,,,,,26,31,28,18.4999,21.4109,19.8098,26.427,30.5909,28.3007,,,,A,Automatic,,1,N,N,F,"2-Wheel Drive, Front",,,238,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,95,17,,,550,550,,,,,,,,,,,,,,,,,,,,,,,7,Small Station Wagons,car,Electric Vehicle 2-cycle label,9/12/16,20999,,,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,350,171.4,140,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,Y,,,,,1,Other,AC PERMANENT MAGNET,150,,,,,N,Y,,,N,No,BOLT,,,,,,,,,,10,10,,HGMXV00.0002,10,,,,,,,,,,,,,,,4250,,0,0,0,,9.3,,,,,,255.1,217.4,238,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Fiat 500e,,,,,,,,,,,,,,,,,2017 Fiat 500e,,,,,,,,,,,,,,,,2017 Fiat 500e,,,,,,,,,,,,,,,2017 Fiat 500e,,,,,,,,,,,,,,,,2017 Fiat 500e,,,,,, ,,,,,,,,,,2017 Fiat 500e,,,,,,,,,,,,,,,,,2017 Fiat 500e,,,,,,,,,,,,,,,,,2017 Fiat 500e,,,,,,,,,,,,,, ,2017 Fiat 500e,,,,,,,,,,,,,,,2017 Fiat 500e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,FCA US LLC,FIAT,500e,CRX,18,0.0,,Auto(A1),121,103,112,172.9,147.8,160.6249,121.03,103.46,112.4374,,,,A,Automatic,,1,Y,N,F,"2-Wheel Drive, Front",,,84,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,,,72,7,600,600,,,,,,,,,,,,,,,,,,,,,,,2,Minicompact Cars,car,Electric Vehicle 2-cycle label,7/18/16,20205,,N,,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,399,63,88,On-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,"Liquid cooled Electric Drive Module (EDM) with integral single speed reduction drive, e-park pawl, regenerative braking, and Power Inverter Module (PIM).",1,AC Induction,,82,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HCRXV00.05PR,10,,,,,,,,,,,,,,,4000,,0,0,0,,4,,,,,,90.02,76.65,84,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,FCA US LLC,FIAT,500e,CRX,18,0.0,,Auto(A1),28,33,30,19.4946,22.8037,20.9837,27.8485,32.5778,29.9767,,,,A,Automatic,,1,Y,N,F,"2-Wheel Drive, Front",,,84,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,N,Not exempt,,,,,72,7,600,600,,,,,,,,,,,,,,,,,,,,,,,2,Minicompact Cars,car,Electric Vehicle 2-cycle label,7/18/16,20205,,N,,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,399,63,88,On-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,"Liquid cooled Electric Drive Module (EDM) with integral single speed reduction drive, e-park pawl, regenerative braking, and Power Inverter Module (PIM).",1,AC Induction,,82,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HCRXV00.05PR,10,,,,,,,,,,,,,,,4000,,0,0,0,,4,,,,,,90.02,76.65,84,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Ford Focus Electric FWD,,,,,,,,,,,,,,,,,2017 Ford Focus Electric FWD,,,,,,,,,,,,,,,,2017 Ford Focus Electric FWD,,,,,,,,,,,,,,,2017 Ford Focus Electric FWD,,,,,,,,,,,,,,,,2017 Ford Focus Electric FWD,,,,,, ,,,,,,,,,,2017 Ford Focus Electric FWD,,,,,,,,,,,,,,,,,2017 Ford Focus Electric FWD,,,,,,,,,,,,,,,,,2017 Ford Focus Electric FWD,,,,,,,,,,,,,, ,2017 Ford Focus Electric FWD,,,,,,,,,,,,,,,2017 Ford Focus Electric FWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Ford Motor Company,Ford,Focus Electric FWD,FMX,240,0.0,,Auto(A1),118,96,107,169.2,136.8,152.9037,118.44,95.76,107.0326,,,,A,Automatic,,1,Y,N,F,"2-Wheel Drive, Front",,,115,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,,,91,14,600,600,,,,,,,,,,,,,,,,,,,,,,,4,Compact Cars,car,Electric Vehicle 2-cycle label,12/2/16,21266,,N,N,,,N,N,,,,,,,,Battery(s),,2,Lithium Ion,,364,105,110,On-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,This is a pure BEV vehicle. The Drive Motor is an AC permanent magnet synchronous machine.,1,Other,AC permanent magnet synchronou,107,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HFMXV00.0VAF,10,,,,,,,,,,,,,,,4000,,0,0,0,,5.5,,,,,,125.8,101.7,115,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Ford Motor Company,Ford,Focus Electric FWD,FMX,240,0.0,,Auto(A1),28,35,31,19.9225,24.6419,22.0462,28.0574,35.1974,31.4904,,,,A,Automatic,,1,Y,N,F,"2-Wheel Drive, Front",,,115,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,N,Not exempt,,,,,91,14,600,600,,,,,,,,,,,,,,,,,,,,,,,4,Compact Cars,car,Electric Vehicle 2-cycle label,12/2/16,21266,,N,N,,,N,N,,,,,,,,Battery(s),,2,Lithium Ion,,364,105,110,On-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,This is a pure BEV vehicle. The Drive Motor is an AC permanent magnet synchronous machine.,1,Other,AC permanent magnet synchronou,107,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HFMXV00.0VAF,10,,,,,,,,,,,,,,,4000,,0,0,0,,5.5,,,,,,125.8,101.7,115,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Hyundai Ioniq Electric,,,,,,,,,,,,,,,,,2017 Hyundai Ioniq Electric,,,,,,,,,,,,,,,,2017 Hyundai Ioniq Electric,,,,,,,,,,,,,,,2017 Hyundai Ioniq Electric,,,,,,,,,,,,,,,,2017 Hyundai Ioniq Electric,,,,,, ,,,,,,,,,,2017 Hyundai Ioniq Electric,,,,,,,,,,,,,,,,,2017 Hyundai Ioniq Electric,,,,,,,,,,,,,,,,,2017 Hyundai Ioniq Electric,,,,,,,,,,,,,, ,2017 Hyundai Ioniq Electric,,,,,,,,,,,,,,,2017 Hyundai Ioniq Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Hyundai,HYUNDAI MOTOR COMPANY,Ioniq Electric,HYX,49,0.0,,Auto(A1),150,122,136,224.8,182.7,203.6795,150,122,136,,,,A,Automatic,Reduction Gear,1,N,N,F,"2-Wheel Drive, Front",,,124,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,96,23,,,500,500,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,11/15/16,21243,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,360,78,103.7,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,PMSM : Permanent Magnet Synchronous Motor IPM : Interior Permanent Magnet,1,Other,PMSM (IPM),88,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HHYXV00.0151,10,,,,,,,,,,,,,,,4500,,0,0,0,,4,,,,,,135.4,110.0,124,,,,,,,,,,,,,,,,,,,,,,,,,
, ,(tested in the (default) Normal mode using (worst case) Level 1 paddle regeneration control),,,,,,,,22,28,25,14.9926,18.4482,16.5476,22,28,25,,,,A,Automatic,Reduction Gear,1,N,N,F,"2-Wheel Drive, Front",,,124,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,N,Not exempt,,,96,23,,,500,500,,,,,,,,,,,,,,,,,,,,,,,5,Midsize Cars,car,Electric Vehicle 2-cycle label,11/15/16,21243,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,360,78,103.7,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,PMSM : Permanent Magnet Synchronous Motor IPM : Interior Permanent Magnet,1,Other,PMSM (IPM),88,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HHYXV00.0151,10,,,,,,,,,,,,,,,4500,,0,0,0,,4,,,,,,Combined range voluntarily lowered from 126 miles),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Kia Soul Electric,,,,,,,,,,,,,,,,,2017 Kia Soul Electric,,,,,,,,,,,,,,,,2017 Kia Soul Electric,,,,,,,,,,,,,,,2017 Kia Soul Electric,,,,,,,,,,,,,,,,2017 Kia Soul Electric,,,,,, ,,,,,,,,,,2017 Kia Soul Electric,,,,,,,,,,,,,,,,,2017 Kia Soul Electric,,,,,,,,,,,,,,,,,2017 Kia Soul Electric,,,,,,,,,,,,,, ,2017 Kia Soul Electric,,,,,,,,,,,,,,,2017 Kia Soul Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Kia,KIA MOTORS CORPORATION,Soul Electric,KMX,37,0.0,,Auto(A1),120,92,105,170.9,131.4,150.5363,119.6,92,105.3754,,,,A,Automatic,,1,N,N,F,"2-Wheel Drive, Front",,,93,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,97,19,,,600,600,,,,,,,,,,,,,,,,,,,,,,,7,Small Station Wagons,car,Electric Vehicle 2-cycle label,9/5/16,20908,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,360,75,98.4,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,PMSM : Permanent Magnet Synchronous Motor IPM : Interior Permanent Magnet,1,Other,PMSM (IPM),81,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HKMXV00.0411,10,,,,,,,,,,,,,,,4000,,0,0,0,,4,,,,,,103.6,79.7,93,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Kia,KIA MOTORS CORPORATION,Soul Electric,KMX,37,0.0,,Auto(A1),28,37,32,19.7233,25.643,22.3872,28.1744,36.6438,31.9856,,,,A,Automatic,,1,N,N,F,"2-Wheel Drive, Front",,,93,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,N,Not exempt,,,97,19,,,600,600,,,,,,,,,,,,,,,,,,,,,,,7,Small Station Wagons,car,Electric Vehicle 2-cycle label,9/5/16,20908,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,360,75,98.4,Both On-Board and Off-Board,,,Electrical Regen Brake,,Front Wheels,N,,,,PMSM : Permanent Magnet Synchronous Motor IPM : Interior Permanent Magnet,1,Other,PMSM (IPM),81,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HKMXV00.0411,10,,,,,,,,,,,,,,,4000,,0,0,0,,4,,,,,,103.6,79.7,93,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Mercedes B250e,,,,,,,,,,,,,,,,,2017 Mercedes B250e,,,,,,,,,,,,,,,,2017 Mercedes B250e,,,,,,,,,,,,,,,2017 Mercedes B250e,,,,,,,,,,,,,,,,2017 Mercedes B250e,,,,,, ,,,,,,,,,,2017 Mercedes B250e,,,,,,,,,,,,,,,,,2017 Mercedes B250e,,,,,,,,,,,,,,,,,2017 Mercedes B250e,,,,,,,,,,,,,, ,2017 Mercedes B250e,,,,,,,,,,,,,,,2017 Mercedes B250e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
